player,credit_card,buy_id,buy_name,buy_cost,buy_stock,date,discount,arenapack_id,chest_name,chest_rarity,chest_unlock_time,chest_num_cards,bundle_gold,bundle_gems,emote_name,emote_path
#8JRC80YPR,0626146220820802,194,Rinodina Lichen,358.78,2,2019-06-29,74.29,61,,,,,,,,
#PYR9GLQU0,0626293340917504,29,Arizona Sunflower,187.83,21,2019-10-30,7.11,,Epic Chest,Epic,111,17,,,,
#RPRL02JQ,0626068289668254,130,Woolly Huckleberry,399.19,9,2018-11-27,42.15,,,,,,21497,77,,
#2GJC9PR28,0626714784641029,59,Fineleaf Fournerved Daisy,117.42,19,2020-10-06,33.54,,Common Lightning Chest,Common,183,249,,,,
#2CUGV2Y98,0626474503468457,22,Racodium Lichen,305.31,18,2021-03-06,28.9,,,,,,,,Emote104,sfx/emotes/prince_emo_01_dl.ogg
#80RGP2JPR,0626967911198004,186,Whitebark Raspberry,10.82,20,2019-11-22,47.79,,,,,,56924,591,,
#L82V9VVC,0626034979083329,8,Honeysweet,164.6,13,2019-05-14,48.05,,,,,,12564,248,,
#2VLPYG0RL,0626187430072719,20,Hornwort,306.93,30,2020-11-06,1.09,,,,,,78320,505,,
#80UL9QQLY,0626831280862865,35,Stiff Goldenrod,112.94,29,2021-01-19,73.49,,,,,,,,Emote190,sfx/emotes/emotes_logmas2020_02_02_dl.ogg
#YCLCY0R,0626488131688286,134,Sendtner's Polyplastia Lichen,247.77,2,2021-09-23,77.48,,Royal Wild Chest,Champion,165,125,,,,
#YRRQUVG9,0626545589053956,76,Ladder Spleenwort,15.53,2,2019-10-24,46.28,,,,,,,,Emote114,sfx/emotes/emotes_fishSlap_FightingFish_dl.ogg
#28Q0YRYU9,0626976122821411,83,New Mexico Spiny Milkvetch,459.63,8,2019-03-31,24.59,,,,,,65701,10,,
#P8YUYYGPQ,0626531016281162,186,Whitebark Raspberry,10.82,20,2019-02-22,39.05,,,,,,56924,591,,
#2PJQR28Q,0626177128873502,156,Nova Scotia Dewberry,217.1,27,2020-03-03,58.19,,Lightning Chest,Common,190,40,,,,
#LR9R9RUR,0626257664273257,135,Manyflower Flatsedge,208.31,17,2019-08-02,42.29,32,,,,,,,,
#P82PPQPV,0626964188501218,159,Purple Sweetroot,398.46,2,2019-02-24,87.7,85,,,,,,,,
#2RPQJYQ9,0626892339896080,58,San Nicolas Island Buckwheat,356.52,1,2020-01-13,67.84,,,,,,,,Emote34,sfx/emotes/hr_emote_03_dl.ogg
#PG0QC29YR,0626569316864691,9,Mackenzie River Dwarf-primrose,6.92,14,2019-02-19,97.91,,,,,,8288,117,,
#28V9Q0,0626293182545298,162,Arizona Blue-eyed Grass,472.15,7,2021-09-12,43.4,,Epic Lightning Chest,Epic,123,164,,,,
#8R2U80VY,0626284816502946,101,White Goldenrod,446.84,13,2019-04-08,11.68,,,,,,4956,317,,
#9QLU9UJ2R,0626602190886090,155,Centranthus,430.05,30,2019-05-08,79.56,7,,,,,,,,
#YC0JJ2PV,0626717418164110,108,Pholisma,363.73,21,2019-03-25,82.29,,Tower Chest,Rare,216,106,,,,
#2U2JJ098Q,0626238787297761,177,Orangeflower Lupine,481.88,24,2019-12-05,3.8,92,,,,,,,,
#9V2V2VP,0626486298766614,174,Cup Lichen,197.34,6,2019-01-02,46.37,,Legendary Chest,Legendary,149,226,,,,
#8PP0Y8J2,0626832105465512,93,San Angelo Yucca,164.51,17,2020-12-04,66.09,64,,,,,,,,
#9RCYRP2,0626067307616923,161,Virginia Creeper,427.42,30,2021-06-09,32.01,,Clan Chest,Champion,173,156,,,,
#8QYCJR99,0626266770906759,39,Swamp Gentian,375.37,12,2020-01-09,67.43,51,,,,,,,,
#PCVRVLJCU,0626874151089234,88,Caribbean Snoutbean,215.45,10,2021-02-22,40.52,21,,,,,,,,
#VPUQYUY,0626400106479690,194,Rinodina Lichen,358.78,2,2020-06-22,82.87,61,,,,,,,,
#YLRU2LLYP,0626931822105607,175,Mago,154.81,20,2020-02-11,68.66,,,,,,,,Emote49,sfx/emotes/emotes_wizard_01_02_dl.ogg
#2Y20C8U0C,0626187849879936,57,Beardgrass,435.34,14,2019-07-27,49.25,93,,,,,,,,
#G9GJYYJPU,0626569203310972,179,Upright Prairie Coneflower,154.4,13,2021-03-15,29.76,,,,,,96223,155,,
#Q2CGJ8JQ,0626032404591445,64,Tropical Signalgrass,88.12,30,2019-04-22,41.65,44,,,,,,,,
#2Y8CJ2LJC,0626880129373485,117,Thymeleaf Sandwort,323.81,10,2020-12-13,69.13,82,,,,,,,,
#2LPC0LVPG,0626284537630794,52,Redmahogany,210.53,4,2021-11-06,56.9,29,,,,,,,,
#GJCC29PC,0626821872573129,112,Peruvian Watergrass,385.34,19,2020-05-20,98.93,,,,,,,,Emote114,sfx/emotes/emotes_fishSlap_FightingFish_dl.ogg
#L98JYVL,0626874360614624,138,Frosted Indian Paintbrush,54.9,13,2021-05-29,64.5,,,,,,,,Emote110,sfx/emotes/sfx_3_sneeze_dl.ogg
#LUGVG9PC,0626928680707094,39,Swamp Gentian,375.37,12,2020-10-16,90.4,51,,,,,,,,
#2JRYUGY9V,0626290289274467,47,Goat Willow,285.39,25,2020-12-20,9.33,,,,,,46593,63,,
#2GC2R2P2Y,0626364351318609,127,Creeping Bedgrass,300.22,28,2020-12-07,75.48,,,,,,73357,344,,
#QGV9QLGY,0626786496492990,188,Slender Hawksbeard,423.66,16,2018-11-26,58.07,,,,,,,,Emote196,sfx/emotes/emotes_LNY_2021_01_01_dl.ogg
#892JJYVC,0626595165854475,60,Northern Singlespike Sedge,5.22,13,2018-12-16,76.75,6,,,,,,,,
#VPUQYUY,0626400106479690,70,Tufted Evening Primrose,14.71,30,2019-07-07,5.74,,Magical Chest,Common,223,121,,,,
#U2UJQCL0,0626826893649261,170,Blackbutt,102.55,13,2019-03-09,75.31,,,,,,58433,108,,
#CL08URJ,0626620073093899,191,American Tarwort,286.81,22,2019-08-10,72.79,,King's Chest,Champion,163,238,,,,
#QJYV9L9Q,0626348607354542,4,Florida Hoarypea,224.39,9,2020-05-16,35.0,89,,,,,,,,
#2JL08GY0,0626576620484223,3,Sweet Autumn Virginsbower,110.99,19,2020-06-21,67.23,,,,,,,,Emote42,sfx/emotes/emotes_barbarian_01_03_dl.ogg
#JUVVY0LU,0626009138057042,167,Cutleaf Checkerbloom,212.57,6,2020-05-03,85.84,,,,,,,,Emote136,sfx/emotes/emotes_halloween_01_04_dl.ogg
#2L2QGJQQ,0626582706920841,152,False Venus' Looking Glass,261.47,8,2020-07-27,74.99,,Mega Lightning Chest,Common,226,146,,,,
#22QUQG09C,0626222959831433,162,Arizona Blue-eyed Grass,472.15,7,2019-11-10,49.75,,Epic Lightning Chest,Epic,123,164,,,,
#828L9RJG,0626772683358160,156,Nova Scotia Dewberry,217.1,27,2020-05-04,13.83,,Lightning Chest,Common,190,40,,,,
#2YQP98L8R,0626385354989799,73,Sweetroot,76.24,27,2021-08-13,5.17,,,,,,12000,365,,
#98R0LCGG,0626504675206002,158,Denseflower Willowherb,90.66,14,2020-05-12,4.02,,,,,,35707,152,,
#99QVP8J8Q,0626831047592060,122,Cliff Desertdandelion,364.92,4,2021-04-07,19.7,,King's Chest,Champion,163,238,,,,
#9YYGL9GUQ,0626612972175760,52,Redmahogany,210.53,4,2021-07-27,97.83,29,,,,,,,,
#JU0VG99C,0626898270445480,127,Creeping Bedgrass,300.22,28,2020-05-09,65.23,,,,,,73357,344,,
#QQLVULY,0626516647803294,171,Roundleaf Bladderpod,157.48,19,2019-03-15,49.55,99,,,,,,,,
#YQ9QYJGP,0626284953292400,99,Alkali Sandmat,268.94,23,2021-03-10,8.99,,Rare Lightning Chest,Common,94,138,,,,
#Q9GV0Y8Y,0626897818549068,186,Whitebark Raspberry,10.82,20,2021-07-18,34.64,,,,,,56924,591,,
#YL098VV8P,0626374129103407,23,Common Hawkweed,351.65,28,2021-03-06,45.54,,Fortune Chest,Common,226,171,,,,
#28CGVGQQQ,0626468899154515,53,Weeping Fern,168.49,26,2019-01-26,2.23,,,,,,36239,421,,
#2CCQUJJR,0626213581678359,193,Tube Lichen,50.92,9,2020-04-27,84.65,17,,,,,,,,
#2CRJGPRY,0626819369064107,185,Sarah's Buckwheat,315.81,26,2020-10-25,17.7,,,,,,43034,49,,
#V0QCQUCL,0626997669324072,43,'awiwi,363.56,18,2019-02-23,66.27,,,,,,91872,594,,
#PQGV0VCQQ,0626342223053794,98,Eltroplectris,183.26,19,2020-11-16,90.17,,Clan Chest,Champion,173,156,,,,
#GJJ2Y098J,0626786647528171,128,Prairie Lily,4.43,1,2019-07-21,13.97,,Epic Chest,Epic,111,17,,,,
#8YRGR00G,0626981301373358,154,Arctic Cottongrass,284.31,18,2018-11-21,63.33,,Legendary King's Chest,Legendary,163,51,,,,
#CL08URJ,0626620073093899,33,Baldwin's Beaksedge,154.86,11,2019-01-04,35.71,,,,,,,,Emote4,sfx/emotes/emotes_goblin_01_01_dl.ogg
#2L0RPV822,0626430238804713,190,Nuttall's Milkvetch,310.95,24,2021-08-29,97.27,,,,,,35348,27,,
#J999R29J,0626957318985459,190,Nuttall's Milkvetch,310.95,24,2021-08-30,59.32,,,,,,35348,27,,
#PJUJCVUR,0626972663743049,66,Quince,276.19,12,2018-12-30,10.99,,,,,,,,Emote37,sfx/emotes/emotes_hog_01_02_dl.ogg
#G22U2G8J8,0626660618604107,24,King Bladderpod,127.07,15,2020-03-13,6.24,,,,,,,,EmoteChronos23,
#2L0CR9C0,0626235836394565,124,Fineflower Gilia,72.82,10,2020-05-01,31.75,83,,,,,,,,
#98LLQYJG,0626543599729749,86,Lesser Creeping Rush,467.0,21,2021-01-11,55.56,68,,,,,,,,
#YUU8RCCRQ,0626934480714280,56,Creeping Nailwort,107.54,14,2020-03-30,0.22,,Epic Lightning Chest,Epic,123,164,,,,
#8982QVPQV,0626425586088679,185,Sarah's Buckwheat,315.81,26,2021-07-21,82.62,,,,,,43034,49,,
#R82Q0L2V,0626954554399537,21,Elko Cryptantha,455.46,27,2021-05-01,97.3,,Epic Lightning Chest,Epic,123,164,,,,
#P98828PU,0626179787235031,36,Microlychnus Lichen,301.83,10,2021-07-21,76.62,60,,,,,,,,
#2Q80QPGCU,0626600443925566,166,Coot Bay Dancing-lady Orchid,411.79,25,2018-12-03,93.19,,Clan Chest,Champion,173,156,,,,
#VCVCG2YR,0626666014849113,21,Elko Cryptantha,455.46,27,2021-08-16,16.33,,Epic Lightning Chest,Epic,123,164,,,,
#LQ2LRL29,0626332174429960,60,Northern Singlespike Sedge,5.22,13,2019-08-05,25.19,6,,,,,,,,
#QV2PYL,0626966543536722,109,Drummond's Mountain-avens,407.45,21,2020-11-17,63.51,50,,,,,,,,
#P0VC8PJR,0626345024772645,155,Centranthus,430.05,30,2020-07-28,60.6,7,,,,,,,,
#YU8CCU0Q,0626906317063305,192,Tansyleaf Evening Primrose,176.24,14,2020-07-18,83.61,,Lightning Chest,Common,190,40,,,,
#8J8JG0G0,0626482044680662,114,Kauai Island-aster,487.41,6,2021-11-16,5.25,,Season Chest,Champion,98,226,,,,
#8GP2YJCL9,0626806205922754,11,Curlyhead Goldenweed,454.72,10,2020-07-07,33.21,,Season Chest,Champion,98,226,,,,
#VCUYGG8J,0626074159083533,56,Creeping Nailwort,107.54,14,2019-11-03,41.74,,Epic Lightning Chest,Epic,123,164,,,,
#9RR9ULL99,0626722010591249,165,Tephromela Lichen,216.53,30,2020-02-21,18.8,,,,,,49375,480,,
#R82VQ90R,0626629066492877,171,Roundleaf Bladderpod,157.48,19,2021-10-14,53.48,99,,,,,,,,
#82LP8CPJ8,0626285395644439,166,Coot Bay Dancing-lady Orchid,411.79,25,2020-02-05,35.02,,Clan Chest,Champion,173,156,,,,
#82RQ02YUJ,0626991905021287,195,Flyr's Brickellbush,249.56,19,2020-09-02,2.67,6,,,,,,,,
#G22U2G8J8,0626660618604107,60,Northern Singlespike Sedge,5.22,13,2021-06-24,7.09,6,,,,,,,,
#28V9Q0,0626293182545298,160,Wart Lichen,100.85,5,2019-11-08,8.72,,,,,,,,EmoteChronos18,
#988RL92U,0626135613069051,24,King Bladderpod,127.07,15,2020-10-05,37.66,,,,,,,,EmoteChronos23,
#PCRRGRRCV,0626839086028557,94,Rough Strongbark,245.61,11,2020-03-24,19.95,,,,,,29714,265,,
#P09C0GC0,0626945544643885,76,Ladder Spleenwort,15.53,2,2019-12-11,56.78,,,,,,,,Emote114,sfx/emotes/emotes_fishSlap_FightingFish_dl.ogg
#9JJ0G922G,0626018182621942,190,Nuttall's Milkvetch,310.95,24,2020-01-08,77.89,,,,,,35348,27,,
#2U2JJ098Q,0626238787297761,147,Java Aerva,81.16,4,2021-03-14,99.84,,,,,,,,Emote8,sfx/emotes/emotes_goblin_02_01_dl.ogg
#PJLCL9YUQ,0626587135258044,164,Moringa,440.2,19,2020-12-25,11.69,,,,,,78634,61,,
#L0L9VJLG9,0626004138375510,177,Orangeflower Lupine,481.88,24,2021-02-09,17.16,92,,,,,,,,
#2QY9CYJVY,0626741490803627,34,Seminole Balsamo,242.83,10,2021-09-11,68.4,,Magical Chest,Common,223,121,,,,
#8L08LCP28,0626188070773145,9,Mackenzie River Dwarf-primrose,6.92,14,2018-11-19,49.7,,,,,,8288,117,,
#29VGUQL00,0626712675017564,33,Baldwin's Beaksedge,154.86,11,2021-03-02,25.95,,,,,,,,Emote4,sfx/emotes/emotes_goblin_01_01_dl.ogg
#2R80RVPP,0626554226505915,163,Bejuco De Lira,35.19,6,2018-11-20,63.7,,,,,,,,Emote191,sfx/emotes/emotes_logmas2020_03_dl.ogg
#22Y89Q0LU,0626804920669875,24,King Bladderpod,127.07,15,2021-04-19,62.91,,,,,,,,EmoteChronos23,
#2PU98V8QJ,0626063100884289,79,Rockledge Spleenwort,134.08,30,2020-09-09,34.56,79,,,,,,,,
#8PV2R08L,0626765107575930,127,Creeping Bedgrass,300.22,28,2019-04-04,24.02,,,,,,73357,344,,
#2RLGQGLC,0626561026268446,78,Melanelia Lichen,465.39,28,2019-11-07,28.76,,Legendary Chest,Legendary,149,226,,,,
#P09C0GC0,0626945544643885,64,Tropical Signalgrass,88.12,30,2021-06-25,47.76,44,,,,,,,,
#2GP88YU0,0626203035367329,160,Wart Lichen,100.85,5,2020-10-23,4.92,,,,,,,,EmoteChronos18,
#8L000LJ9Y,0626116825859794,115,Miner's Lettuce,258.62,9,2021-01-24,78.54,,,,,,,,Emote113,
#28GUPV8QG,0626677592984768,93,San Angelo Yucca,164.51,17,2020-03-24,96.17,64,,,,,,,,
#88VR0GVPL,0626927612263937,99,Alkali Sandmat,268.94,23,2019-10-06,93.8,,Rare Lightning Chest,Common,94,138,,,,
#UPRJQQ89,0626915670711152,169,Tobosagrass,262.12,25,2021-05-14,48.88,,,,,,,,Emote150,sfx/emotes/emotes_log_02_Angry_sfx1_dl.ogg
#8C9RQYV2J,0626143017570328,117,Thymeleaf Sandwort,323.81,10,2021-05-03,52.5,82,,,,,,,,
#888P9C9UV,0626505279937850,43,'awiwi,363.56,18,2019-11-13,83.65,,,,,,91872,594,,
#89LY9LU2Y,0626070918513703,78,Melanelia Lichen,465.39,28,2019-07-13,13.15,,Legendary Chest,Legendary,149,226,,,,
#2YLCVUYYP,0626016459773685,178,Slender Passionflower,67.4,21,2020-09-29,1.26,,,,,,,,Emote47,sfx/emotes/emotes_skeleton_01_04_dl.ogg
#9YJ08GG08,0626683496551331,86,Lesser Creeping Rush,467.0,21,2019-11-06,95.98,68,,,,,,,,
#JJVVV8RG,0626897204347812,45,Greater Yellowthroat Gilia,58.32,27,2021-06-13,63.18,24,,,,,,,,
#2UL9YLPL0,0626535240757335,73,Sweetroot,76.24,27,2020-12-25,42.67,,,,,,12000,365,,
#R8GRU8YP2,0626741652852123,107,Common Woolly Sunflower,61.43,1,2021-01-26,88.86,,,,,,83929,402,,
#LP098UL8L,0626452984628856,168,Gaspé Willow,472.27,16,2020-05-15,16.61,,Silver Chest,Rare,219,182,,,,
#28PQ9GJG9,0626499730676010,28,Roundleaf Hawthorn,83.18,26,2019-12-14,80.73,,,,,,67840,504,,
#2JUPU0LPV,0626547054565357,96,Dimple Lichen,304.11,26,2019-04-12,22.9,,,,,,,,Emote162,sfx/emotes/emotes_feb2020_01_sfx2_dl.ogg
#G2YGPR8R,0626560401467201,70,Tufted Evening Primrose,14.71,30,2020-01-23,91.0,,Magical Chest,Common,223,121,,,,
#92V2VRCVQ,0626464596500837,124,Fineflower Gilia,72.82,10,2020-06-17,18.16,83,,,,,,,,
#LP8YG2RP,0626145664177588,15,Entireleaved Thelypody,85.63,7,2020-03-02,58.6,,Plentiful Gold Crate,Rare,107,223,,,,
#80V0JULJ,0626833975501113,139,Kaffir-lily,452.46,10,2020-10-19,14.4,54,,,,,,,,
#P2CLCV8,0626789391559160,96,Dimple Lichen,304.11,26,2019-12-09,57.55,,,,,,,,Emote162,sfx/emotes/emotes_feb2020_01_sfx2_dl.ogg
#YU28V0LP,0626681826094972,101,White Goldenrod,446.84,13,2021-06-29,24.94,,,,,,4956,317,,
#LY2V9GQV9,0626882810713979,87,Sierra Lessingia,32.49,25,2020-12-04,45.75,,,,,,96541,70,,
#V9G8PQGG,0626975105110800,33,Baldwin's Beaksedge,154.86,11,2020-02-23,33.11,,,,,,,,Emote4,sfx/emotes/emotes_goblin_01_01_dl.ogg
#8YGR88JJC,0626870128994506,165,Tephromela Lichen,216.53,30,2020-07-20,47.58,,,,,,49375,480,,
#8CJ2880VR,0626030390471895,181,Fraziers Well Buckwheat,352.69,30,2019-11-27,89.08,,,,,,,,Emote182,sfx/emotes/emotes_electroGiant_01_03_dl.ogg
